iter	Passed	Remaining
0	134	134785
1	135	67615
2	136	45208
3	136	34047
4	137	27353
5	137	22859
6	138	19677
7	139	17269
8	139	15398
9	140	13888
10	140	12663
11	141	11646
12	141	10780
13	142	10037
14	143	9397
15	143	8844
16	145	8394
17	145	7951
18	146	7552
19	146	7194
20	147	6870
21	147	6576
22	148	6312
23	149	6063
24	149	5835
25	150	5634
26	150	5438
27	151	5257
28	152	5091
29	152	4934
30	153	4787
31	153	4651
32	154	4521
33	155	4405
34	155	4292
35	156	4185
36	156	4078
37	157	3979
38	157	3886
39	158	3798
40	158	3714
41	159	3634
42	159	3558
43	160	3495
44	161	3424
45	161	3356
46	162	3291
47	162	3226
48	163	3166
49	163	3108
50	164	3054
51	164	3000
52	165	2950
53	165	2900
54	166	2853
55	166	2807
56	167	2762
57	167	2719
58	167	2679
59	168	2640
60	169	2602
61	169	2565
62	170	2529
63	170	2494
64	171	2462
65	171	2430
66	172	2398
67	172	2367
68	173	2338
69	173	2309
70	174	2281
71	174	2252
72	175	2225
73	175	2199
74	176	2173
75	176	2148
76	177	2124
77	177	2100
78	178	2076
79	178	2053
80	179	2031
81	179	2009
82	180	1988
83	180	1969
84	180	1948
85	181	1928
86	181	1909
87	182	1890
88	182	1872
89	183	1854
90	183	1836
91	184	1819
92	184	1803
93	185	1786
94	185	1770
95	186	1754
96	186	1739
97	187	1724
98	187	1709
99	188	1694
100	188	1680
101	189	1667
102	189	1653
103	190	1640
104	190	1626
105	191	1613
106	191	1600
107	192	1588
108	192	1576
109	193	1564
110	193	1552
111	194	1540
112	194	1528
113	195	1517
114	195	1505
115	196	1495
116	196	1483
117	197	1473
118	197	1463
119	198	1452
120	198	1442
121	198	1431
122	199	1421
123	199	1411
124	200	1402
125	200	1393
126	201	1384
127	201	1375
128	202	1366
129	202	1357
130	203	1349
131	203	1340
132	204	1331
133	204	1323
134	205	1314
135	205	1306
136	206	1298
137	206	1290
138	207	1282
139	207	1274
140	208	1267
141	208	1260
142	209	1253
143	209	1247
144	210	1240
145	210	1233
146	211	1226
147	211	1219
148	212	1212
149	212	1205
150	213	1199
151	213	1192
152	214	1186
153	214	1179
154	215	1173
155	215	1167
156	216	1160
157	216	1154
158	217	1148
159	217	1143
160	218	1137
161	218	1131
162	219	1125
163	219	1119
164	220	1113
165	220	1107
166	220	1101
167	221	1095
168	221	1090
169	222	1085
170	222	1080
171	223	1075
172	223	1070
173	224	1065
174	224	1060
175	225	1055
176	225	1050
177	226	1045
178	226	1040
179	227	1035
180	227	1030
181	228	1026
182	228	1021
183	229	1016
184	229	1011
185	230	1006
186	230	1002
187	230	997
188	231	993
189	231	988
190	232	983
191	232	979
192	233	974
193	233	970
194	233	965
195	234	961
196	235	957
197	235	953
198	235	949
199	236	945
200	236	941
201	237	937
202	237	933
203	238	929
204	238	925
205	239	922
206	239	918
207	239	913
208	240	910
209	240	906
210	241	902
211	241	898
212	242	895
213	243	892
214	243	889
215	243	885
216	244	881
217	244	878
218	245	875
219	245	871
220	246	868
221	246	865
222	247	861
223	247	858
224	248	855
225	248	852
226	249	848
227	249	845
228	250	842
229	250	839
230	251	835
231	251	833
232	252	830
233	252	826
234	252	823
235	253	820
236	253	817
237	254	814
238	254	811
239	255	808
240	255	805
241	256	802
242	256	799
243	256	796
244	257	793
245	257	790
246	258	787
247	258	784
248	259	782
249	259	779
250	260	776
251	260	773
252	261	771
253	261	768
254	262	766
255	262	763
256	263	761
257	263	758
258	264	755
259	264	753
260	265	750
261	265	748
262	266	745
263	266	743
264	267	741
265	267	738
266	268	736
267	268	733
268	269	731
269	269	729
270	270	727
271	270	724
272	271	722
273	271	720
274	272	718
275	272	715
276	273	713
277	273	710
278	274	709
279	275	707
280	275	705
281	276	703
282	276	701
283	277	698
284	277	696
285	278	694
286	278	692
287	279	689
288	279	687
289	280	685
290	280	683
291	281	681
292	281	679
293	282	677
294	282	675
295	283	673
296	283	671
297	283	668
298	284	666
299	285	665
300	285	663
301	286	661
302	286	659
303	287	657
304	287	655
305	288	653
306	288	651
307	289	649
308	289	647
309	289	645
310	290	643
311	290	641
312	291	639
313	291	637
314	292	635
315	292	633
316	293	631
317	293	629
318	293	627
319	294	625
320	294	623
321	295	621
322	295	619
323	296	617
324	296	616
325	297	614
326	297	612
327	298	610
328	298	609
329	299	607
330	299	605
331	300	604
332	300	602
333	301	600
334	301	599
335	302	597
336	302	595
337	303	594
338	303	592
339	304	590
340	304	589
341	305	587
342	305	585
343	306	584
344	306	582
345	307	580
346	307	579
347	308	577
348	308	575
349	309	574
350	309	572
351	310	571
352	310	569
353	311	567
354	311	566
355	312	564
356	312	563
357	313	561
358	313	559
359	314	558
360	314	556
361	315	555
362	315	553
363	315	552
364	316	550
365	316	548
366	317	547
367	317	545
368	318	544
369	318	542
370	319	541
371	319	539
372	320	538
373	320	536
374	320	534
375	321	533
376	321	531
377	322	530
378	323	529
379	323	527
380	323	526
381	324	524
382	324	523
383	325	521
384	325	520
385	326	519
386	327	518
387	327	516
388	328	515
389	328	513
390	329	512
391	329	510
392	329	509
393	330	508
394	331	507
395	331	506
396	332	504
397	332	503
398	333	501
399	333	500
400	334	499
401	334	497
402	335	496
403	335	495
404	336	493
405	336	492
406	337	491
407	337	489
408	337	488
409	338	486
410	338	485
411	339	484
412	340	483
413	340	482
414	341	480
415	341	479
416	342	478
417	342	477
418	343	475
419	343	474
420	344	473
421	344	472
422	345	470
423	345	469
424	346	468
425	346	466
426	347	465
427	347	464
428	348	463
429	348	461
430	349	460
431	349	459
432	349	458
433	350	457
434	350	455
435	352	455
436	352	454
437	353	453
438	353	452
439	354	450
440	354	449
441	355	448
442	355	447
443	356	446
444	356	444
445	357	443
446	357	442
447	358	441
448	358	440
449	359	438
450	359	437
451	359	436
452	360	435
453	360	434
454	361	432
455	361	431
456	362	430
457	362	429
458	363	428
459	363	426
460	364	425
461	364	424
462	364	423
463	365	422
464	365	420
465	366	419
466	366	418
467	367	417
468	367	416
469	368	415
470	368	414
471	369	412
472	369	411
473	370	410
474	370	409
475	371	408
476	371	407
477	372	406
478	372	405
479	373	404
480	373	403
481	373	401
482	374	400
483	374	399
484	375	398
485	375	397
486	376	396
487	376	395
488	377	394
489	379	394
490	379	393
491	380	392
492	380	391
493	381	390
494	382	389
495	382	388
496	382	387
497	383	386
498	383	385
499	384	384
500	384	383
501	385	382
502	385	381
503	386	380
504	386	378
505	387	377
506	387	376
507	387	375
508	388	374
509	388	373
510	389	372
511	389	371
512	390	370
513	390	369
514	391	368
515	391	367
516	392	366
517	392	365
518	392	364
519	393	363
520	393	362
521	394	361
522	394	360
523	395	359
524	395	358
525	396	357
526	396	355
527	397	354
528	397	353
529	397	352
530	398	351
531	398	350
532	399	349
533	399	348
534	400	347
535	400	346
536	401	345
537	401	344
538	402	343
539	402	342
540	403	342
541	403	341
542	403	340
543	404	339
544	405	338
545	405	337
546	406	336
547	406	335
548	406	334
549	407	333
550	407	332
551	408	331
552	408	330
553	409	329
554	409	328
555	410	327
556	410	326
557	411	325
558	411	324
559	412	323
560	412	322
561	413	322
562	413	321
563	414	320
564	414	319
565	414	318
566	415	317
567	415	316
568	416	315
569	416	314
570	417	313
571	417	312
572	418	311
573	418	310
574	419	309
575	419	309
576	420	308
577	420	307
578	421	306
579	421	305
580	422	304
581	422	303
582	423	302
583	423	301
584	424	300
585	424	300
586	425	299
587	425	298
588	426	297
589	426	296
590	426	295
591	427	294
592	428	293
593	428	292
594	429	292
595	429	291
596	430	290
597	430	289
598	431	288
599	431	287
600	432	286
601	432	285
602	433	285
603	433	284
604	433	283
605	434	282
606	434	281
607	435	280
608	435	279
609	436	278
610	436	278
611	437	277
612	437	276
613	438	275
614	438	274
615	439	273
616	439	272
617	440	272
618	440	271
619	441	270
620	441	269
621	442	268
622	442	267
623	443	267
624	443	266
625	444	265
626	445	264
627	445	263
628	445	263
629	446	262
630	446	261
631	447	260
632	447	259
633	448	258
634	448	257
635	449	257
636	449	256
637	449	255
638	450	254
639	450	253
640	451	252
641	451	251
642	452	251
643	452	250
644	453	249
645	453	248
646	454	247
647	454	247
648	455	246
649	455	245
650	456	244
651	456	243
652	457	243
653	457	242
654	458	241
655	458	240
656	459	239
657	459	238
658	460	238
659	460	237
660	461	236
661	461	235
662	462	234
663	462	234
664	463	233
665	463	232
666	464	231
667	464	230
668	465	230
669	465	229
670	466	228
671	466	227
672	467	227
673	467	226
674	468	225
675	468	224
676	469	223
677	469	223
678	470	222
679	471	221
680	471	220
681	472	220
682	472	219
683	472	218
684	473	217
685	473	216
686	474	216
687	474	215
688	475	214
689	475	213
690	476	213
691	476	212
692	477	211
693	477	210
694	478	209
695	478	209
696	479	208
697	479	207
698	480	206
699	480	206
700	481	205
701	481	204
702	482	203
703	482	203
704	483	202
705	483	201
706	484	200
707	484	199
708	485	199
709	485	198
710	486	197
711	486	196
712	487	196
713	487	195
714	488	194
715	488	193
716	489	193
717	489	192
718	489	191
