iter	Passed	Remaining
0	0	907
1	1	897
2	2	824
3	3	809
4	4	855
5	4	812
6	5	780
7	6	757
8	6	741
9	7	722
10	7	710
11	8	710
12	9	705
13	9	696
14	10	686
15	11	688
16	11	679
17	12	672
18	12	670
19	13	666
20	14	666
21	14	666
22	15	667
23	16	666
24	17	664
25	17	662
26	18	662
27	19	688
28	20	700
29	21	698
30	22	694
31	22	691
32	23	688
33	24	684
34	24	681
35	25	678
36	25	674
37	26	671
38	27	675
39	27	671
40	28	669
41	29	670
42	30	669
43	30	666
44	31	664
45	31	662
46	32	659
47	33	656
48	33	655
49	34	652
50	35	652
51	36	657
52	37	661
53	37	665
54	39	671
55	39	673
56	40	672
57	41	671
58	42	671
59	42	668
60	43	668
61	44	666
62	44	664
63	45	662
64	46	661
65	46	660
66	47	658
67	47	656
68	48	653
69	48	650
70	49	649
71	50	647
72	50	646
73	52	650
74	52	653
75	53	652
76	54	651
77	54	649
78	55	647
79	56	644
80	56	642
81	57	642
82	58	641
83	58	640
84	59	644
85	60	643
86	61	642
87	61	640
88	62	637
89	62	636
90	63	636
91	64	638
92	65	639
93	67	645
94	67	645
95	68	643
96	68	640
97	69	636
98	69	635
99	70	635
100	71	634
101	71	633
102	72	631
103	73	630
104	73	627
105	74	625
106	74	624
107	75	622
108	75	620
109	76	619
110	77	620
111	78	620
112	79	624
113	80	628
114	81	626
115	82	625
116	82	623
117	83	622
118	83	621
119	84	621
120	85	620
121	86	619
122	86	618
123	87	618
124	88	617
125	88	615
126	89	613
127	89	612
128	90	610
129	91	609
130	91	608
131	92	609
132	93	608
133	94	607
134	94	608
135	96	609
136	96	609
137	97	607
138	98	607
139	98	607
140	100	612
141	101	610
142	101	609
143	102	608
144	102	606
145	103	604
146	103	602
147	104	601
148	105	600
149	105	600
150	106	600
151	107	599
152	108	599
153	109	600
154	110	600
155	110	598
156	111	597
157	111	595
158	112	594
159	113	593
160	113	592
161	114	591
162	115	590
163	115	589
164	116	588
165	116	587
166	117	585
167	117	584
168	118	582
169	119	582
170	120	583
171	121	583
172	121	582
173	123	585
174	123	583
175	124	582
176	124	581
177	125	579
178	126	578
179	127	578
180	127	577
181	128	576
182	129	576
183	129	575
184	130	574
185	130	573
186	131	572
187	132	571
188	133	570
189	133	570
190	134	570
191	135	570
192	136	570
193	137	569
194	137	568
195	138	566
196	138	565
197	139	564
198	139	562
199	140	562
200	141	561
201	141	560
202	142	559
203	143	558
204	143	557
205	144	556
206	145	555
207	145	554
208	146	553
209	147	555
210	148	555
211	149	556
212	150	557
213	151	556
214	152	555
215	152	554
216	153	553
217	154	552
218	154	551
219	155	550
220	156	550
221	156	549
222	157	548
223	158	548
224	158	547
225	159	546
226	160	545
227	160	544
228	161	544
229	162	544
230	163	545
231	164	546
232	165	545
233	166	544
234	167	543
235	167	542
236	168	541
237	168	540
238	169	541
239	170	540
240	171	539
241	172	538
242	172	537
243	173	536
244	173	535
245	174	534
246	175	533
247	176	536
248	178	537
249	179	537
250	180	537
251	180	537
252	181	535
253	182	534
254	182	534
255	183	532
256	183	531
257	184	531
258	185	530
259	185	529
260	186	528
261	187	526
262	187	525
263	188	524
264	188	524
265	189	523
266	190	522
267	191	522
268	191	521
